city,country,x1,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x28,x29,x33,x34,x35,x36,x38,x39,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,weekly_groceries,latitude,longitude
Utrecht,Netherlands,17.66,1.07,1.95,1.82,2.77,11.96,8.47,26.92,2.82,1.45,1.5,2.74,1.26,0.94,0.92,1.01,6.22,1.24,2.21,2.75,93.48,2.19,25967.42,33096.38,253.89,43.89,38.52,98.86,45.44,76.01,112.08,1375.97,1074.4,2102.62,1731.66,6022.68,4444.06,3217.66,3.0,92.72,52.080985600000005,5.12768396945229
Nice,France,18.7,1.36,1.45,2.3,3.66,21.81,12.34,20.77,2.42,1.95,2.4,3.14,1.8,2.67,1.23,0.81,7.27,2.44,2.09,1.56,43.77,2.06,26746.44,29429.74,191.21,33.06,32.33,69.98,38.09,89.03,91.41,909.18,728.47,1800.41,1320.73,6838.09,3843.18,2478.24,1.17,108.52000000000001,43.7009358,7.2683912
Alicante,Spain,13.45,0.88,1.32,1.14,2.08,10.41,6.32,11.57,1.47,1.62,1.06,1.76,1.2,1.02,0.93,0.58,4.15,0.98,1.68,1.51,36.35,1.69,22851.33,24409.37,134.97,31.62,36.61,72.02,29.38,71.97,64.27,676.31,571.28,1030.04,842.3,2042.77,1710.85,1472.44,1.95,61.93999999999999,38.3436365,-0.4881708
Belfast,United Kingdom,18.62,1.17,1.47,1.82,2.33,6.06,6.86,12.85,2.34,1.43,1.94,2.08,1.68,1.24,0.83,1.08,9.61,2.33,2.69,3.06,66.06,1.89,24013.71,25333.02,135.57,43.24,39.0,66.06,38.29,78.51,96.83,1007.65,695.3,1595.85,1027.76,3983.1,2882.82,2278.78,2.81,75.74,54.596391,-5.9301829
Bielefeld,Germany,10.39,0.95,2.49,2.07,2.6,9.24,8.18,24.38,2.53,1.65,2.66,0.82,1.3,1.38,0.81,0.67,5.19,0.61,1.45,2.91,88.81,2.25,32968.23,25941.45,300.31,30.29,29.43,86.42,32.55,82.89,94.78,581.67,772.53,1635.95,1260.98,4206.72,3427.7,2466.9,2.4,77.91999999999999,52.0191005,8.531007
Bonn,Germany,15.58,1.0,1.17,1.99,2.49,11.48,8.42,22.85,2.52,1.65,2.2,0.98,1.17,0.92,1.4,0.43,5.19,0.55,1.45,3.12,114.26,2.23,25453.26,25263.7,280.92,35.55,40.64,77.77,35.71,91.41,100.49,657.84,609.37,2181.26,1727.7,6232.18,3895.11,2251.63,2.66,81.99000000000001,50.735851,7.10066
Bari,Italy,15.58,1.12,1.49,2.17,3.29,13.83,9.94,16.79,1.66,1.64,1.41,1.77,1.27,1.36,1.18,0.79,6.23,1.37,1.25,1.09,37.91,2.25,30122.2,20773.93,173.66,31.16,46.74,66.22,45.11,94.22,135.03,779.02,584.27,2008.15,1194.5,5193.48,3012.22,1506.11,2.69,82.89,41.1257843,16.8620293
Nantes,France,13.5,1.07,1.36,2.05,2.72,17.13,10.08,20.06,3.01,1.9,2.84,2.81,2.41,1.87,1.06,0.41,6.75,1.95,2.34,1.77,57.13,2.09,24928.72,25474.04,173.06,34.05,31.05,106.47,29.86,89.03,101.79,606.15,536.23,1393.58,1056.01,6162.93,5842.67,2240.12,1.85,92.98000000000002,47.2186371,-1.5541362
Munster,Germany,10.39,0.97,2.34,2.04,2.42,9.8,6.64,12.46,2.3,1.65,1.96,0.82,2.18,0.92,0.9,0.58,5.18,0.55,1.19,4.83,71.41,2.29,20509.07,22328.52,264.15,28.38,43.88,82.92,27.7,81.19,98.5,830.96,626.68,1402.24,916.13,4445.62,1656.72,1855.8,1.87,64.1,52.307621600000004,-8.570897276292667
Mannheim,Germany,11.43,0.96,1.56,1.75,2.06,13.81,7.5,20.51,2.77,1.65,2.06,0.95,1.84,0.95,1.24,0.42,4.67,0.57,1.3,2.8,77.9,2.27,26486.76,24582.49,270.71,34.4,36.24,80.5,32.89,99.46,122.05,903.67,497.54,1258.9,981.57,4674.13,5193.48,2977.6,2.13,76.7,49.4892913,8.4673098
Catania,Italy,12.46,1.28,1.31,2.26,2.43,11.43,6.84,10.71,1.8,1.21,1.23,2.29,1.25,1.32,1.15,0.36,6.23,1.33,1.94,1.04,31.16,2.18,24210.32,16914.18,174.84,28.97,41.55,73.86,25.97,68.68,103.72,498.57,346.23,856.92,571.28,1973.52,1391.85,1090.63,2.32,66.89,37.5023612,15.0873718
Karlsruhe,Germany,11.17,0.96,1.17,2.13,2.66,13.55,7.62,24.58,2.37,1.65,1.99,0.82,2.25,0.92,1.28,0.46,5.45,0.57,1.31,2.91,69.59,2.28,20773.93,25058.56,234.55,37.97,38.58,92.79,40.81,90.6,133.88,688.14,642.69,1485.34,1194.5,4674.13,3981.67,2852.48,1.45,81.59999999999998,49.0068705,8.4034195
Vila Nova de Gaia,Portugal,8.31,0.67,0.96,1.31,2.28,10.6,6.2,11.45,2.04,1.32,1.3,1.57,0.89,1.17,1.27,1.04,4.67,1.22,1.48,1.77,41.55,2.09,31160.9,30236.46,119.13,43.86,35.17,81.46,34.13,72.37,92.31,692.46,467.41,1281.06,965.99,2602.56,1474.12,1051.68,2.62,58.27,41.1300103,-8.6058415
Valladolid,Spain,10.39,0.8,1.06,1.35,1.75,14.75,5.97,12.85,1.83,2.13,1.1,1.74,0.97,1.26,1.01,0.71,6.23,0.76,1.45,1.56,45.7,1.6,21713.95,23890.02,111.06,35.32,34.9,80.5,29.86,59.73,83.1,694.42,389.51,1142.57,727.09,2337.07,2025.46,1632.48,2.83,66.66000000000001,41.6521328,-4.728562
Augsburg,Germany,12.46,1.11,3.12,1.97,2.68,12.88,5.86,12.46,2.94,1.65,2.07,0.82,1.73,0.92,1.28,0.59,6.75,0.56,1.18,3.32,63.1,2.29,26486.76,22505.09,235.78,34.72,39.32,85.69,37.65,76.86,140.22,877.7,583.4,1402.24,1220.47,6232.18,5193.48,2238.62,1.42,71.85,48.3668041,10.8986971
Bradford,United Kingdom,12.01,1.06,1.14,2.1,2.33,4.8,6.2,8.65,1.69,1.41,1.8,2.4,1.1,1.08,1.03,1.5,8.41,1.97,2.25,2.4,68.95,1.88,24023.53,25224.71,151.94,32.13,31.98,73.47,39.64,83.08,80.08,645.63,526.27,1171.15,990.97,1981.94,1756.72,1861.82,2.83,60.67999999999999,53.7944229,-1.7519186
Vigo,Spain,10.91,0.78,1.05,0.95,1.92,7.48,6.75,9.09,1.66,1.39,1.7,1.87,1.31,1.56,0.9,0.49,4.15,0.83,1.34,1.4,46.74,1.53,20773.93,19676.05,111.72,40.25,35.32,71.15,25.97,59.73,77.9,534.93,432.79,1004.07,779.02,2129.33,1229.12,1364.15,3.08,54.79,42.2376602,-8.7247205
Montpellier,France,13.5,0.96,1.29,1.8,3.73,16.36,10.65,17.31,3.25,1.84,2.25,3.12,1.73,1.56,1.09,0.65,7.06,3.05,2.08,1.66,31.16,2.06,21163.44,25534.63,142.79,36.35,30.12,72.71,42.41,84.13,90.37,733.93,600.14,2363.03,1661.91,5494.01,4294.32,2950.86,1.75,91.20000000000002,43.6112422,3.8767337
Nottingham,United Kingdom,14.41,1.03,1.14,1.69,2.3,8.95,8.09,15.36,3.32,1.0,2.73,3.04,1.71,1.44,0.84,0.92,8.41,2.24,1.77,3.6,72.07,1.88,26365.83,29224.63,135.2,37.74,54.2,90.84,33.03,92.34,77.22,891.12,637.29,1861.82,1054.63,3975.56,3002.94,2347.16,4.41,78.61999999999999,52.9534193,-1.1496461
Graz,Austria,11.43,1.34,2.16,2.32,3.35,16.18,12.3,18.26,2.35,1.94,2.49,3.19,1.84,1.76,1.72,0.82,7.27,1.11,1.75,2.8,56.19,1.86,24367.82,20754.31,246.31,34.86,32.98,94.0,43.77,98.1,136.22,632.5,541.16,1216.14,1002.34,5021.17,3758.19,2291.3,1.82,91.82999999999998,47.0708678,15.4382786
Strasbourg,France,15.58,1.02,1.3,3.08,3.06,14.15,8.62,10.34,2.08,1.58,2.08,3.29,1.02,1.97,1.38,0.28,6.49,2.63,2.96,1.87,55.05,2.05,30122.2,30122.2,184.59,36.22,33.76,103.0,43.63,93.48,115.81,727.09,584.27,1246.44,937.42,5539.72,3739.31,2660.55,1.4,79.94999999999999,48.584614,7.7507127
Southampton,United Kingdom,13.78,1.22,1.14,1.94,2.08,5.68,6.03,14.01,1.46,1.38,1.68,2.16,1.43,0.88,0.78,1.23,7.81,2.08,2.25,2.52,69.07,1.87,29128.53,31681.03,276.51,40.99,28.38,83.08,35.03,75.07,90.09,966.95,867.1,1651.62,1311.28,4804.71,4240.15,2644.41,4.55,66.77,50.9025349,-1.404189
Malmo,Sweden,9.53,1.26,2.4,2.34,3.09,9.64,9.26,15.3,2.58,2.14,2.29,3.34,1.24,1.13,1.98,1.54,9.53,1.87,2.16,2.67,54.25,1.92,26006.31,20602.28,75.1,32.79,32.96,91.38,31.21,82.03,134.03,791.4,631.11,1243.16,961.27,3780.68,2738.76,2712.57,1.78,80.46,55.6052931,13.0001566
Plymouth,United Kingdom,12.01,1.03,1.18,1.45,2.69,9.03,6.98,8.07,2.38,1.13,2.33,3.51,1.27,1.32,0.79,0.86,8.41,2.14,2.55,3.78,66.06,1.85,26425.89,24824.32,252.74,31.63,38.78,79.13,39.94,73.79,74.62,912.89,690.68,1541.51,1043.52,3002.94,3002.94,1801.77,3.87,66.58000000000001,50.3712659,-4.1425658
Espoo,Finland,15.58,1.17,3.45,2.55,3.12,8.09,12.3,18.46,3.0,1.95,3.24,3.95,1.26,1.48,1.98,1.93,15.58,3.45,3.9,2.91,64.4,2.39,27525.46,29371.37,106.57,17.88,52.37,93.07,46.05,94.15,155.8,1145.62,860.77,1778.77,1377.8,6777.5,4249.21,2998.54,1.19,102.54000000000002,60.2047672,24.6568435
